StatisticalCodeID	OrganizationID	Description
1	3	Adult Fiction
2	3	Adult Fiction-Mystery
3	3	Adult Fiction-SciFi
4	3	Adult Fiction-Western
5	3	Adult Nonfiction
6	3	Adult Biography
7	3	AV Audio-Fiction
8	3	AV Audio-Nonfiction
9	3	AV Compact Disc-Music
10	3	AV Compact Disc-Fiction
11	3	AV Compact Disc-Nonfiction
12	3	AV DVD-Feature Film
13	3	AV DVD-Nonfiction
14	3	AV Equipment
19	3	AV Videos-Feature Film
20	3	AV Videos-Nonfiction
22	3	Electronic Resource
23	3	Interlibrary Loan
25	3	Juvenile Compact Discs
26	3	Juvenile DVD
27	3	Juvenile Fiction
28	3	Juvenile Fiction-Easy
29	3	Juvenile Fiction-Easy/CD
30	3	Juvenile Easy-I Can Read
31	3	Juvenile Nonfiction
32	3	Juvenile Biography
33	3	Juvenile Reference
35	3	Kits
36	3	Kentucky Room Nonfiction
37	3	Kentucky Room Biography
38	3	Kentucky Room Fiction
39	3	Kentucky Room Genealogy
40	3	Kentucky Room Microform
41	3	Large Print Nonfiction
42	3	Large Print Biography
43	3	Large Print Fiction
44	3	Large Print Juvenile
45	3	Large Print Mystery
46	3	Large Print SciFi
48	3	Large Print Western
49	3	Magazine
50	3	Magazine-Juvenile
51	3	Paperbacks-Adult
52	3	Paperbacks-Juvenile
53	3	Paperbacks-Teen
54	3	Puzzles
55	3	Reference
61	3	AV Blu-Ray Disc
62	3	J-Blu-Ray Disc
63	3	AV Video Game
79	3	Adult Graphic Novels
80	3	Juvenile Graphic Novels
81	3	Passes
84	3	Adult Fiction Manga
85	3	Adult Fiction Urban
86	3	Juvenile Fiction Manga
87	3	Large Print Young Adult
88	3	Young Adult - Biography
89	3	Young Adult - Fantasy
90	3	Young Adult - Graphic Novels
91	3	Young Adult - Horror
92	3	Young Adult - Light
93	3	Young Adult - Manga
94	3	Young Adult - Mystery
95	3	Young Adult - Nonfiction
96	3	Young Adult - Realistic
97	3	Young Adult - Romance
98	3	Young Adult - Sci-Fi
99	3	Young Adult - Book
100	3	Kits - Outreach